text,sentiment
"Words matter! Masks Don’t “Prevent” a person from getting a virus (Covid 19). However, what most masks actually do is “reduce” the amount of virus (droplet particles) infected people spread. Wearing a mask isn’t about “YOU” it’s about reducing the risks for EVERYONE.",neg
"If you are scared wear a mask, which does not protect you from Covid 19 at all. It only protects you from bacteria and creates acid-dosis in your lungs by breathing your own CO2. Even the packages say it will not protect you from any virus. Plus what about people with Asthma ?",neg
"Why should we wear a sweaty useless mask? Harc to breath with them. Fungal rash from the moisture & dirty bacteria all over the mask. With only a 2% effectiveness against Covid-19, why risk getting a respiratory infection, not to mention a hot & sweaty face. No thanks!",neg
"WEAR A MASK, people!

Doctor recovering from COVID-19 warns 'don't be cavalier about this virus'  via 10TV  https://www.10tv.com/article/doctor-recovering-covid-19-warns-dont-be-cavalier-about-virus-2020-may …",neg
"Interesting to see different reactions from people to #COVID-19 in America. Some have no problem wearing a mask in public places to potentially prevent the spread of this new virus in consideration of others, while others are screaming that their rights are being infringed upon",neg
"Since theirs No Vaccine for COVID-19 I have no choice but to wear my 😷 to protect, my family, myself and others... fact is many people have died from COVID-19 are you willing to take that risk, and possibly even put your family in harms way? Their is NO Vaccine so wear the MASK!",neg
A mask prevents us from transmitting COVID-19.   https://bit.ly/3c2EPpV ,pos
"Covid-19 can be contracted through the eyes... So wearing a mask won't protect you from getting it at all, it's for other people's benefit. Did Donald Trump MD not tell you that? Did Fox news not tell you that?",pos
"But he isn't a fool for pretending his terry cloth was going to stop literally anything from going into his mouth?
I wear a mask. For my droplets. You wear one for yours. The evidence is CLEAR, that if you have Covid 19 and you are close to me my risk is HIGH. Period.",pos
"“In conclusion, both surgical and cotton masks seem to be ineffective in preventing the dissemination of SARS–CoV-2 from the coughs of patients with COVID-19 to the environment and external mask surface.”  https://www.acpjournals.org/doi/10.7326/M20-1342 …",neg
"Guidelines from WHO:

-If you are healthy, you only need to wear a mask if you are taking care of a person with COVID-19.

-Wear a mask if you are coughing or sneezing.",pos
"Kayleigh McEnany should wear a mask to protect everyone from not only COVID-19, but from her blatant stupidity as well.",neg
"Wear a mask to protect yourself.

It could help others.

But it will definitely help you.

If the virus cannot get into your nose or mouth, you are that much more protected from COVID-19.

Get N-95 mask if you can! Or surgical mask. @cvspharmacy sells it! https://www.nbc29.com/2020/05/26/watch-gov-northam-delivers-update-covid-virginia/ …",pos
Wearing mask in a public is respecting and protecting those around you plz make safety its our religions duty. My mask is protect you . And your mask protects me so lets do our duty. And keep all safe from covid 19 .,pos
"#Covid_19 
Manufacture of coved mask from cotton tassels 😊
#Mohamed pic.twitter.com/VxSprEpHHp",pos
"Many of the tweets out there promoting unsafe reopening, mocking mask wearing and social distancing, will fit under this label “Some or all of the content shared in this Tweet conflicts with guidance from public health experts regarding COVID-19. Learn more.”  https://twitter.com/Yamiche/status/1265399827871006721 …",pos
"Our faces aren't the only things being masked during COVID-19.

Join us starting THIS weekend for a 3-Part series from Pastor Keith Battle called “Mask Off” surrounding the impacts of COVID-19 on our mental and emotional health.  pic.twitter.com/pkm7fOsr5T",pos
"Is wearing a mask while in public a joke to you? Is covid-19 a joke to you? 100K Americans have died in 3 months, yet you laugh at Americans who are responsible, follow CDC recommendations to wear a mask? When your loved one dies from it, make sure to laugh when you wear a mask",pos
"ANOTHER person who worked at king Soopers in cap hill died from covid. And there are still righteous (mostly white) privileged folk walking around without a mask yelling about freedom not being free. Well, it wasn’t for James McKay, the worker who died from covid-19.",neg
"As we can see, the curve has NOT been flattened here in Alameda County. Daily COVID-19 cases have been steadily rising throughout May, and we may see another spike in cases from Memorial Day weekend. 

Remember to stay home if possible, and wear a mask if you do go outside.  pic.twitter.com/4yYIuxN0Cr",pos
"#Veterans, we're working to keep you safe from #COVID-19. Do 3 things to help keep yourself and others safe:
- Wear a mask or face covering
- Maintain a distance of at least 6 feet in public.
- Clean your hands often with soap and water or sanitizer.
 https://www.va.gov/coronavirus-veteran-frequently-asked-questions/ … pic.twitter.com/temKDF7f4D",pos
"Lol! Apparently, you're the one living in fear. Statically, your chances of being killed in a traffic accident are much higher than dying from COVID 19..   so take a sedative and go out without your mask!",neg
So this mask protects you from covid 19 huh..🤔 well my thing is this : at some point the mask comes off...so who's protecting you then 🤔🤔 ...ii know who👉JESUS 🕺🏻🕺🏻,pos
"If you refuse to wear a mask,
I will Not feel sorry about your death from Covid-19
And don't worry about funeral arrangements,
You get buried in a mass grave with no one in attendance",neg
"Me: a bug flew into my throat earlier, caused a lot of coughing & hacking, which obvi is why my throat is sore right now.

Also me: But what if it’s COVID-19 because the Fed-Ex driver got closer than 6 feet from me today when he delivered my package, and he wasn’t wearing a mask!",neg
". @CraigKohlruss & I spoke with a shoe shiner inside, whose face mask isn't making him feel protected from COVID-19 right now. Lots of people already, including women leaning on jewelry cases and kids grabbing food counters. Some wore masks, some didn't.  https://www.fresnobee.com/news/business/article243002966.html …",pos
"@realDonaldTrump dear donny, because no one else has the balls, let me volunteer, I'm from Tenn. anyway. Keep the mask off, you'll die sooner than later, from Covid-19 AKA Trumping . like tripping only worse.
Mr. Murry, sorry. Director Murry. You earned it..good luck. Keep pushin",neg
"The Mask. When evidence is sparse or non-existent, consensus frequently trumps science. The recommendation to wear a mask to reduce the risk of infection from COVID-19 is based on hope and theory but not on clinical studies.  https://justthenews.com/politics-policy/coronavirus/mask-use-rises-dramatically-evidence-their-effectiveness-sparse-and#.Xs2QYOMz3c0.twitter …",pos
This is absolutely disgusting.  Southwest airlines flight # 888 from Denver is not enforcing their own mask policy. #Covid_19 @SouthwestAir #covidmask #COVIDIDIOTS #CovidRules,neg
"Those people using personal trajedy to try and score free make-up, STOP! ""My Gramma died from covid-19, please send me a pallet to make me feel better!"" ""I just got fired from my job because I can't wear a mask, please send me your ENTIRE line, I'm sad!""
NO, You're pathetic! 😤",neg
